name,activity,adress,zipcode,city,country,latitude,longitude
Dommartin,city,,1380,Dommartin,FR,46.341667,4.991667
Dompierre-sur-Veyle,city,,1240,Dompierre-sur-Veyle,FR,46.066667,5.2
Dompierre-sur-Chalaronne,city,,1400,Dompierre-sur-Chalaronne,FR,46.133333,4.9
Domsure,city,,1270,Domsure,FR,46.416667,5.3
Dortan,city,,1590,Dortan,FR,46.316667,5.666667
Douvres,city,,1500,Douvres,FR,45.983333,5.366667
Drom,city,,1250,Drom,FR,46.216667,5.366667
Druillat,city,,1160,Druillat,FR,46.066667,5.316667
Échenevex,city,,1170,Échenevex,FR,46.316667,6.033333
Étrez,city,,1340,Étrez,FR,46.333333,5.183333
Évosges,city,,1230,Évosges,FR,45.958333,5.5
Faramans,city,,1800,Faramans,FR,45.9,5.116667
Fareins,city,,1480,Fareins,FR,46.016667,4.766667
Farges,city,,1550,Farges,FR,46.166667,5.916667
Feillens,city,,1570,Feillens,FR,46.333333,4.883333
Ferney-Voltaire,city,,1210,Ferney-Voltaire,FR,46.25,6.116667
Fitignieu,city,,1260,Fitignieu,FR,45.933333,5.666667
Flaxieu,city,,1350,Flaxieu,FR,45.816667,5.733333
Foissiat,city,,1340,Foissiat,FR,46.366667,5.183333
AmareinsFrancheleinsCes,city,,1090,AmareinsFrancheleinsCes,FR,46.066667,4.8
Frans,city,,1480,Frans,FR,45.983333,4.783333
Garnerans,city,,1140,Garnerans,FR,46.2,4.833333
Genouilleux,city,,1090,Genouilleux,FR,46.116667,4.783333
Géovreissiat,city,,1460,Géovreissiat,FR,46.2,5.566667
Géovreisset,city,,1100,Géovreisset,FR,46.25,5.6
Germagnat,city,,1250,Germagnat,FR,46.316667,5.45
Gex,city,,1170,Gex,FR,46.333333,6.066667
Giron,city,,1130,Giron,FR,46.233333,5.766667
Gorrevod,city,,1190,Gorrevod,FR,46.416667,4.95
LeGrand-Abergement,city,,1260,LeGrand-Abergement,FR,46.033333,5.666667
Grand-Corent,city,,1250,Grand-Corent,FR,46.2,5.433333
Granges,city,,1580,Granges,FR,46.233333,5.5
Grièges,city,,1290,Grièges,FR,46.25,4.85
Grilly,city,,1220,Grilly,FR,46.333333,6.116667
Groissiat,city,,1810,Groissiat,FR,46.216667,5.6
Groslée,city,,1680,Groslée,FR,45.716667,5.566667
Guéreins,city,,1090,Guéreins,FR,46.1,4.783333
HautecourtRomanèche,city,,1250,HautecourtRomanèche,FR,46.158333,5.416667
Hauteville-Lompnes,city,,1110,Hauteville-Lompnes,FR,45.966667,5.6
Hostias,city,,1110,Hostias,FR,45.9,5.533333
Hotonnes,city,,1260,Hotonnes,FR,46,5.683333
Illiat,city,,1140,Illiat,FR,46.183333,4.883333
InjouxGénissiat,city,,1200,InjouxGénissiat,FR,46.05,5.783333
Innimond,city,,1680,Innimond,FR,45.783333,5.566667
Izenave,city,,1430,Izenave,FR,46.033333,5.533333
Izernore,city,,1580,Izernore,FR,46.216667,5.55
Izieu,city,,1300,Izieu,FR,45.65,5.633333
Jassans-Riottier,city,,1480,Jassans-Riottier,FR,45.983333,4.75
Jasseron,city,,1250,Jasseron,FR,46.216667,5.333333
Jayat,city,,1340,Jayat,FR,46.366667,5.116667
Journans,city,,1250,Journans,FR,46.15,5.333333
Joyeux,city,,1800,Joyeux,FR,45.95,5.1
Jujurieux,city,,1640,Jujurieux,FR,46.033333,5.416667
Labalme,city,,1450,Labalme,FR,46.1,5.483333
Lagnieu,city,,1150,Lagnieu,FR,45.9,5.35
Laiz,city,,1290,Laiz,FR,46.25,4.883333
Lalleyriat,city,,1130,Lalleyriat,FR,46.15,5.716667
Lancrans,city,,1200,Lancrans,FR,46.133333,5.833333
Lantenay,city,,1430,Lantenay,FR,46.05,5.533333
Lapeyrouse,city,,1330,Lapeyrouse,FR,45.983333,4.966667
Lavours,city,,1350,Lavours,FR,45.8,5.766667
Léaz,city,,1200,Léaz,FR,46.1,5.883333
Lélex,city,,1410,Lélex,FR,46.3,5.95
Lent,city,,1240,Lent,FR,46.116667,5.2
Lescheroux,city,,1560,Lescheroux,FR,46.4,5.15
Leyment,city,,1150,Leyment,FR,45.916667,5.3
Leyssard,city,,1450,Leyssard,FR,46.166667,5.466667
Lhuis,city,,1680,Lhuis,FR,45.75,5.533333
